Number:,Age:,Weight:,Height:,Gender,Jump Flight Time (Android):,Jump Flight Time (BioPlux):,Predicted_LSQ,Predicted_MLP
344,22,78,170,Male,380,376,377.08851992266665,377.7072913135326
345,22,78,170,Male,393,400,382.61703201998773,382.484068623188
346,22,78,170,Male,399,382,385.16865298798206,385.06853744670417
347,22,78,170,Male,393,377,382.61703201998773,382.484068623188
348,22,78,170,Male,412,375,390.6971650853031,390.9915115700099
349,22,78,170,Male,402,401,386.4444634719792,386.3607718584621
35,31,70,175,Male,435,414,398.65624223571837,404.5222787104938
350,22,78,170,Male,413,307,391.1224352466355,391.4732273066421
351,22,78,170,Male,367,394,371.5600078253456,375.99591536685955
352,22,78,170,Male,341,343,360.5029836307035,385.1134385388678
353,22,78,170,Male,381,389,377.513790083999,378.06429408613303
354,22,78,170,Male,398,368,384.7433828266497,384.6377926427848
355,22,78,170,Male,380,409,377.08851992266665,377.7072913135326
356,22,78,170,Male,413,402,391.1224352466355,391.4732273066421
357,22,78,170,Male,381,385,377.513790083999,378.06429408613303
358,22,78,170,Male,380,377,377.08851992266665,377.7072913135326
359,22,78,170,Male,398,397,384.7433828266497,384.6377926427848
360,22,78,170,Male,413,376,391.1224352466355,391.4732273066421
361,22,78,170,Male,399,395,385.16865298798206,385.06853744670417
362,22,78,170,Male,384,409,378.7896005679962,379.13530240393436
363,22,78,170,Male,382,359,377.93906024533146,378.42129685873346
364,22,78,170,Male,413,410,391.1224352466355,391.4732273066421
365,22,78,170,Male,381,380,377.513790083999,378.06429408613303
366,22,78,170,Male,399,390,385.16865298798206,385.06853744670417
367,22,78,170,Male,364,395,370.28419734134843,376.1480619672212
368,22,78,170,Male,412,408,390.6971650853031,390.9915115700099
369,22,78,170,Male,371,366,373.26108847067513,376.0540775245338
37,31,70,175,Male,447,394,403.759484171707,414.0336934111852
370,22,78,170,Male,397,397,384.31811266531724,384.20704783886544
371,22,78,170,Male,429,420,397.92675782795374,402.3402720888473
372,22,78,170,Male,397,284,384.31811266531724,384.20704783886544
373,22,78,170,Male,397,390,384.31811266531724,384.20704783886544
374,22,78,170,Male,390,372,381.34122153599054,381.27731903953696
375,22,78,170,Male,331,363,356.2502820173796,393.0334756174935
376,22,78,170,Male,413,419,391.1224352466355,391.4732273066421
377,22,78,170,Male,462,319,411.96067315192255,428.0858811575557
378,22,78,170,Male,413,382,391.1224352466355,391.4732273066421
379,22,78,170,Male,332,396,356.675552178712,392.17209560605045
380,22,78,170,Male,166,391,,
381,22,78,170,Male,397,396,384.31811266531724,384.20704783886544
382,22,78,170,Male,412,412,390.6971650853031,390.9915115700099
383,22,78,170,Male,364,385,370.28419734134843,376.1480619672212
384,22,78,170,Male,397,356,384.31811266531724,384.20704783886544
385,22,78,170,Male,399,402,385.16865298798206,385.06853744670417
386,22,78,170,Male,380,356,377.08851992266665,377.7072913135326
387,22,78,170,Male,397,409,384.31811266531724,384.20704783886544
388,22,78,170,Male,396,359,383.89284250398487,383.7763030349461
389,22,78,170,Male,381,295,377.513790083999,378.06429408613303
39,31,70,175,Male,412,372,388.87502852507345,388.4092706107055
390,22,78,170,Male,362,378,369.4336570186837,376.407689028033
391,22,78,170,Male,380,369,377.08851992266665,377.7072913135326
392,22,78,170,Male,381,337,377.513790083999,378.06429408613303
393,22,78,170,Male,396,405,383.89284250398487,383.7763030349461
394,22,78,170,Male,346,385,362.6293344373654,381.85695871826033
395,22,78,170,Male,381,403,377.513790083999,378.06429408613303
396,22,78,170,Male,396,409,383.89284250398487,383.7763030349461
397,22,78,170,Male,380,296,377.08851992266665,377.7072913135326
398,22,78,170,Male,413,354,391.1224352466355,391.4732273066421
399,22,78,170,Male,395,393,383.4675723426525,383.34555823102676
4,31,70,175,Male,420,397,392.2771898157325,393.38721622730435
40,31,70,175,Male,365,379,368.8873309424511,374.22162693519243
400,22,78,170,Male,396,372,383.89284250398487,383.7763030349461
401,22,78,170,Male,430,403,398.3520279892861,403.02150811420864
402,22,78,170,Male,384,362,378.7896005679962,379.13530240393436
403,22,78,170,Male,400,413,385.59392314931443,385.4992822506235
404,22,78,170,Male,417,411,392.82351589196503,394.16543978451114
405,22,78,170,Male,418,388,393.24878605329747,394.84667580987247
406,22,78,170,Male,382,354,377.93906024533146,378.42129685873346
407,22,78,170,Male,380,342,377.08851992266665,377.7072913135326
408,22,78,170,Male,367,400,371.5600078253456,375.99591536685955
409,22,78,170,Male,397,386,384.31811266531724,384.20704783886544
410,22,78,170,Male,415,421,391.9729755693003,392.80296773378853
411,22,78,170,Male,449,332,406.4321610546015,416.51751211060065
412,22,78,170,Male,348,350,363.4798747600302,380.8272745277539
413,22,78,170,Male,415,398,391.9729755693003,392.80296773378853
414,22,78,170,Male,398,359,384.7433828266497,384.6377926427848
415,22,78,170,Male,414,391,391.5477054079679,392.1217317084272
416,22,78,170,Male,382,378,377.93906024533146,378.42129685873346
418,22,78,170,Male,430,375,398.3520279892861,403.02150811420864
419,22,78,170,Male,408,375,388.9960844399736,389.0646486234808
42,31,70,175,Male,444,407,402.4836736877099,411.65583973601235
420,22,78,170,Male,398,364,384.7433828266497,384.6377926427848
421,22,78,170,Male,398,387,384.7433828266497,384.6377926427848
422,22,78,170,Male,412,389,390.6971650853031,390.9915115700099
423,22,78,170,Male,399,386,385.16865298798206,385.06853744670417
424,22,78,170,Male,431,386,398.7772981506185,403.70274413957
425,22,78,170,Male,381,423,377.513790083999,378.06429408613303
426,22,78,170,Male,380,382,377.08851992266665,377.7072913135326
427,22,78,170,Male,382,383,377.93906024533146,378.42129685873346
428,22,78,170,Male,415,400,391.9729755693003,392.80296773378853
429,22,78,170,Male,412,348,390.6971650853031,390.9915115700099
43,31,70,175,Male,448,409,404.18475433303945,414.8263113029094
430,22,78,170,Male,396,427,383.89284250398487,383.7763030349461
431,22,78,170,Male,399,430,385.16865298798206,385.06853744670417
432,22,78,170,Male,414,420,391.5477054079679,392.1217317084272
433,22,78,170,Male,380,416,377.08851992266665,377.7072913135326
434,22,78,170,Male,398,412,384.7433828266497,384.6377926427848
435,22,78,170,Male,359,369,368.1578465346865,376.7971296192507
436,22,78,170,Male,397,423,384.31811266531724,384.20704783886544
437,22,78,170,Male,397,405,384.31811266531724,384.20704783886544
438,22,78,170,Male,381,435,377.513790083999,378.06429408613303
439,22,78,170,Male,395,372,383.4675723426525,383.34555823102676
440,22,78,170,Male,413,396,391.1224352466355,391.4732273066421
441,22,78,170,Male,397,359,384.31811266531724,384.20704783886544
442,22,78,170,Male,364,362,370.28419734134843,376.1480619672212
443,22,78,170,Male,414,353,391.5477054079679,392.1217317084272
444,22,78,170,Male,365,423,370.7094675026808,376.06711945650653
445,22,78,170,Male,397,393,384.31811266531724,384.20704783886544
446,22,78,170,Male,430,380,398.3520279892861,403.02150811420864
447,22,78,170,Male,368,378,371.985277986678,375.9603133220361
448,22,78,170,Male,412,398,390.6971650853031,390.9915115700099
449,22,78,170,Male,344,377,361.77879411470064,383.01225412762693
45,31,70,175,Male,431,407,396.9551615903888,401.3518071435967
450,22,78,170,Male,380,382,377.08851992266665,377.7072913135326
451,22,78,170,Male,380,376,377.08851992266665,377.7072913135326
452,22,78,170,Male,394,370,383.0423021813201,382.9148134271074
453,22,78,170,Male,364,366,370.28419734134843,376.1480619672212
454,22,78,170,Male,380,390,377.08851992266665,377.7072913135326
455,22,78,170,Male,413,379,391.1224352466355,391.4732273066421
456,22,78,170,Male,381,364,377.513790083999,378.06429408613303
457,22,78,170,Male,381,383,377.513790083999,378.06429408613303
458,22,78,170,Male,430,415,398.3520279892861,403.02150811420864
459,22,78,170,Male,388,385,380.4906812133258,380.5633134943361
46,31,70,175,Male,330,393,354.00287529581755,374.7587033465532
460,22,78,170,Male,386,383,379.640140890661,379.84930794913515
461,22,78,170,Male,116,340,,
462,22,78,170,Male,414,403,391.5477054079679,392.1217317084272
463,22,78,170,Male,727,382,,
464,22,78,170,Male,432,404,399.20256831195087,404.3839801649313
465,22,78,170,Male,395,423,383.4675723426525,383.34555823102676
466,22,78,170,Male,379,382,376.66324976133427,377.3502885409321
467,22,78,170,Male,428,361,397.5014876666213,401.6590360634859
468,22,78,170,Male,370,393,372.83581830934276,375.959536901601
469,22,78,170,Male,365,356,370.7094675026808,376.06711945650653
470,22,78,170,Male,397,410,384.31811266531724,384.20704783886544
471,22,78,170,Male,182,420,,
472,22,78,170,Male,363,376,369.85892718001605,376.2778754976271
473,22,78,170,Male,395,362,383.4675723426525,383.34555823102676
474,22,78,170,Male,414,400,391.5477054079679,392.1217317084272
475,22,78,170,Male,367,349,371.5600078253456,375.99591536685955
476,22,78,170,Male,399,403,385.16865298798206,385.06853744670417
477,22,78,170,Male,417,393,392.82351589196503,394.16543978451114
478,22,78,170,Male,381,400,377.513790083999,378.06429408613303
479,22,78,170,Male,412,345,390.6971650853031,390.9915115700099
48,31,70,175,Male,412,362,388.87502852507345,388.4092706107055
480,22,78,170,Male,776,393,,
481,22,78,170,Male,358,369,367.7325763733541,376.9269431496566
482,22,78,170,Male,365,363,370.7094675026808,376.06711945650653
483,22,78,170,Male,398,378,384.7433828266497,384.6377926427848
484,22,78,170,Male,396,410,383.89284250398487,383.7763030349461
485,22,78,170,Male,346,354,362.6293344373654,381.85695871826033
486,22,78,170,Male,380,397,377.08851992266665,377.7072913135326
487,22,78,170,Male,380,348,377.08851992266665,377.7072913135326
488,22,78,170,Male,406,385,388.14554411730876,388.1012171502162
49,31,70,175,Male,506,392,,
490,22,78,170,Male,378,371,376.2379796000019,377.00153686334454
491,22,78,170,Male,413,384,391.1224352466355,391.4732273066421
492,22,78,170,Male,411,360,390.2718949239707,390.5097958333776
493,22,78,170,Male,412,382,390.6971650853031,390.9915115700099
494,22,78,170,Male,379,351,376.66324976133427,377.3502885409321
495,22,78,170,Male,381,377,377.513790083999,378.06429408613303
496,22,78,170,Male,397,371,384.31811266531724,384.20704783886544
498,22,78,170,Male,396,411,383.89284250398487,383.7763030349461
499,22,78,170,Male,394,364,383.0423021813201,382.9148134271074
5,31,70,175,Male,403,384,385.04759707308193,385.0475947265299
50,31,70,175,Male,412,378,388.87502852507345,388.4092706107055
500,22,78,170,Male,412,354,390.6971650853031,390.9915115700099
501,22,78,170,Male,396,277,383.89284250398487,383.7763030349461
502,22,78,170,Male,412,386,390.6971650853031,390.9915115700099
503,22,78,170,Male,412,386,390.6971650853031,390.9915115700099
504,22,78,170,Male,379,411,376.66324976133427,377.3502885409321
505,22,78,170,Male,380,391,377.08851992266665,377.7072913135326
506,22,78,170,Male,380,443,377.08851992266665,377.7072913135326
507,22,78,170,Male,331,415,356.2502820173796,393.0334756174935
508,22,78,170,Male,362,386,369.4336570186837,376.407689028033
509,22,78,170,Male,379,364,376.66324976133427,377.3502885409321
51,22,78,170,Male,514,518,,
510,22,78,170,Male,348,342,363.4798747600302,380.8272745277539
511,22,78,170,Male,412,397,390.6971650853031,390.9915115700099
512,22,78,170,Male,495,434,425.9945884758914,484.88004692417877
513,22,78,170,Male,394,356,383.0423021813201,382.9148134271074
514,22,78,170,Male,411,429,390.2718949239707,390.5097958333776
515,22,78,170,Male,380,380,377.08851992266665,377.7072913135326
516,22,78,170,Male,429,360,397.92675782795374,402.3402720888473
517,22,78,170,Male,397,383,384.31811266531724,384.20704783886544
518,22,78,170,Male,377,330,375.8127094386695,376.7667168065594
519,22,78,170,Male,397,384,384.31811266531724,384.20704783886544
52,22,78,170,Male,433,428,399.62783847328325,405.0652161902927
520,22,78,170,Male,363,388,369.85892718001605,376.2778754976271
521,22,78,170,Male,364,328,370.28419734134843,376.1480619672212
522,22,78,170,Male,360,352,368.58311669601886,376.6673160888447
523,22,78,170,Male,105,359,,
524,22,78,170,Male,413,394,391.1224352466355,391.4732273066421
525,22,78,170,Male,379,378,376.66324976133427,377.3502885409321
526,22,78,170,Male,428,388,397.5014876666213,401.6590360634859
527,22,78,170,Male,379,352,376.66324976133427,377.3502885409321
528,22,78,170,Male,380,357,377.08851992266665,377.7072913135326
529,22,78,170,Male,347,393,363.05460459869784,381.34211662300714
53,22,78,170,Male,431,393,398.7772981506185,403.70274413957
530,22,78,170,Male,380,358,377.08851992266665,377.7072913135326
531,22,78,170,Male,379,301,376.66324976133427,377.3502885409321
532,22,78,170,Male,379,374,376.66324976133427,377.3502885409321
533,22,78,170,Male,379,370,376.66324976133427,377.3502885409321
534,22,78,170,Male,345,381,362.204064276033,382.3718008135135
535,22,78,170,Male,381,391,377.513790083999,378.06429408613303
536,22,78,170,Male,345,360,362.204064276033,382.3718008135135
537,22,78,170,Male,380,362,377.08851992266665,377.7072913135326
538,22,78,170,Male,348,374,363.4798747600302,380.8272745277539
539,22,78,170,Male,396,437,383.89284250398487,383.7763030349461
54,22,78,170,Male,416,418,392.39824573063265,393.4842037591498
540,22,78,170,Male,331,341,356.2502820173796,393.0334756174935
541,22,78,170,Male,346,349,362.6293344373654,381.85695871826033
542,22,78,170,Male,364,367,370.28419734134843,376.1480619672212
543,22,78,170,Male,379,379,376.66324976133427,377.3502885409321
544,22,78,170,Male,362,353,369.4336570186837,376.407689028033
545,22,78,170,Male,380,355,377.08851992266665,377.7072913135326
546,22,78,170,Male,413,385,391.1224352466355,391.4732273066421
547,22,78,170,Male,313,377,348.5954191133966,425.13704432933423
548,22,78,170,Male,364,355,370.28419734134843,376.1480619672212
549,22,78,170,Male,362,385,369.4336570186837,376.407689028033
55,22,78,170,Male,417,419,392.82351589196503,394.16543978451114
550,22,78,170,Male,380,354,377.08851992266665,377.7072913135326
56,22,78,170,Male,365,369,370.7094675026808,376.06711945650653
57,22,78,170,Male,448,433,406.0068908932691,415.7697897858706
58,22,78,170,Male,413,549,391.1224352466355,391.4732273066421
59,22,78,170,Male,430,433,398.3520279892861,403.02150811420864
6,31,70,175,Male,378,359,374.4158430397722,376.0107894640351
60,22,78,170,Male,414,402,391.5477054079679,392.1217317084272
61,22,78,170,Male,449,356,406.4321610546015,416.51751211060065
62,22,78,170,Male,431,432,398.7772981506185,403.70274413957
64,22,78,170,Male,414,408,391.5477054079679,392.1217317084272
65,22,78,170,Male,448,439,406.0068908932691,415.7697897858706
66,22,78,170,Male,464,437,412.81121347458736,430.0832475916924
67,22,78,170,Male,332,376,356.675552178712,392.17209560605045
68,22,78,170,Male,446,457,405.15635057060433,414.2743451364107
69,22,78,170,Male,429,399,397.92675782795374,402.3402720888473
7,31,70,175,Male,364,383,368.46206078111874,374.1890631346585
70,22,78,170,Male,430,367,398.3520279892861,403.02150811420864
71,22,78,170,Male,430,396,398.3520279892861,403.02150811420864
72,22,78,170,Male,430,314,398.3520279892861,403.02150811420864
73,22,78,170,Male,430,393,398.3520279892861,403.02150811420864
74,22,78,170,Male,431,368,398.7772981506185,403.70274413957
75,22,78,170,Male,413,355,391.1224352466355,391.4732273066421
76,22,78,170,Male,430,400,398.3520279892861,403.02150811420864
78,22,78,170,Male,429,380,397.92675782795374,402.3402720888473
79,22,78,170,Male,447,395,405.5816207319367,415.0220674611407
8,31,70,175,Male,429,364,396.10462126772404,399.76657136014813
80,22,78,170,Male,398,416,384.7433828266497,384.6377926427848
81,22,78,170,Male,380,352,377.08851992266665,377.7072913135326
82,22,78,170,Male,415,394,391.9729755693003,392.80296773378853
83,22,78,170,Male,431,430,398.7772981506185,403.70274413957
84,22,78,170,Male,430,423,398.3520279892861,403.02150811420864
85,22,78,170,Male,430,420,398.3520279892861,403.02150811420864
86,22,78,170,Male,430,426,398.3520279892861,403.02150811420864
87,22,78,170,Male,447,380,405.5816207319367,415.0220674611407
88,22,78,170,Male,430,446,398.3520279892861,403.02150811420864
89,22,78,170,Male,462,424,411.96067315192255,428.0858811575557
9,31,70,175,Male,380,386,375.26638336243695,376.5468788714439
90,22,78,170,Male,430,448,398.3520279892861,403.02150811420864
91,22,78,170,Male,413,392,391.1224352466355,391.4732273066421
92,22,78,170,Male,445,388,404.73108040927195,413.52662281168074
93,22,78,170,Male,446,431,405.15635057060433,414.2743451364107
94,22,78,170,Male,413,431,391.1224352466355,391.4732273066421
95,22,78,170,Male,430,435,398.3520279892861,403.02150811420864
96,22,78,170,Male,429,439,397.92675782795374,402.3402720888473
97,22,78,170,Male,430,405,398.3520279892861,403.02150811420864
98,22,78,170,Male,448,423,406.0068908932691,415.7697897858706
99,22,78,170,Male,445,460,404.73108040927195,413.52662281168074
